"Fluidez
(175 mm a 220mm)","AIII
(7% a 25%)",Agua Combinada (4.8% - 5.2%) ,Fragüe Inicial (2:30 a 4 min),Frague final (6-8 min),Densidad de espuma (g/l),Fluidez DLS  Inferior (250-300 mm),"Fragüe inicial DLS
Inferior(1:00-1:20 min)",Fragüe final DLS Inferior (1:00-1:20 min),"Densidad DLS inferior
(980 a 1000 kg/m3)","Fluidez mixer 
(> a 190 mm)","Frague inicial  mixer
(42s a 60 s)",Frague final  mixer (3:30 a 3:40 min),Densidad de la pasta mixer (860-910 g/l),Temperatura de estuco (°C),Temperatura de pasta (°C),Temperatura de agua de proceso (°C),"Peso Húmedo
(kg/m2)","Nail Pull
1/2"" 343 N min
5/8"" 387 N min
Flex 249 N min
X-terim 356N min","Compresión
2.7 Mpa",Dureza de borde:    oriente poniente,Burbuja 1=SÍ 0=NO
Variable 1,Variable 2 ,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Variable 9,Variable 10,Variable 11,Variable 12,Variable 13,Variable 14,Variable 15,Variable 16,Variable 17,Variable 18,Variable 19,Variable 20,Variable 21,Burbuja
228,13.6,5.14,3.36,9.02,51.96,290,1.1,3.31,957,225,0.5,3.31,939,30.7,41.7,58.6,11.57,293.24,2.77,96.28,1
203,14.8,5.11,3.06,8.16,45.96,270,0.59,3.57,967,198,0.44,3.19,929,31.1,44.9,67.2,11.44,277.46,2.88,100.06,1
198,19.3,4.71,2.52,8,51.96,278,1.04,4.03,951,205,0.46,3.22,927,31.1,44.9,66.8,11.36,309.77,2.91,90.45,1
200,13.9,5.32,3,8,45.96,270,1.09,4.1,953,205,0.42,3.17,921,31,43.4,66.1,11.94,311.06,2.77,96.28,1
230,20.8,4.65,3.4,9.12,43.96,290,1.07,3.5,959,230,0.5,3.3,931,30.7,41.5,58.2,11.62,289.58,2.96,93.74,0
220,16,4.92,3.26,8.3,55.96,290,1.1,3.3,951,230,0.49,3.3,945,30.7,41.3,59.1,11.57,277.51,3.02,94.16,0
204,18.7,4.71,3.1,8.38,45.96,270,68,3.57,959,195,44,3.14,924,31.2,44.9,67.7,11.52,296.58,2.82,91.28,0
205,12.6,5.27,3.28,8.24,61.95,290,1.05,3.59,957,205,0.44,3.2,929,31.2,44.5,67.2,11.29,288.45,3.06,94.23,0
203,9,5.4,3.06,8.1,63.95,265,1.05,4.08,937,200,0.48,3.38,919,31,43.4,65.3,11.55,288.45,3.16,92.55,0
